typeof,name,address,comm,longitude,latitude,location
Library,Bowness Library,6532 BOWNESS RD NW,BOW,-114.1830276,51.08731948,"(51.087319476786774, -114.18302758028041)"
Attraction,Glenbow Alberta Museum,130 9 AV SE,DNC,-114.0611237,51.0447061,"(51.04470610101934, -114.06112369577545)"
Community Centre,Sunalta Community Centre,1627 10 AV SW,SNA,-114.0983343,51.04417435,"(51.04417435024193, -114.09833433626284)"
Attraction,Inglewood Bird Sanctuary,2425 9 AV SE,ING,-114.0087424,51.03009579,"(51.030095793296894, -114.0087423751395)"
PHS Clinic,Thornhill Community Health Centre,6617 Centre ST NW,HUN,-114.0639146,51.11218619,"(51.11218619333126, -114.06391459432675)"
Attraction,Rocky Mountaineer Rail Tours,115 9 AV SW,DNC,-114.0624502,51.04408707,"(51.044087065157676, -114.06245018496966)"
Community Centre,Windsor Park Community Centre,5304 6 ST SW,WND,-114.0785467,51.00640371,"(51.00640371439741, -114.07854671214409)"
PHS Clinic,North Hill Community Health Centre,1527 19 ST NW,HOU,-114.1065071,51.06532159,"(51.06532159267874, -114.10650709115143)"
Attraction,Fish Creek Provincial Park (Bow Valley Ranch),15979 Bow Bottom TR SE,FPK,-114.0151076,50.90933858,"(50.909338581108344, -114.01510755024893)"
Community Centre,Tuscany Community Centre,212 Tuscany Way NW,TUS,-114.2456446,51.12459038,"(51.1245903809456, -114.24564461586554)"
Community Centre,North Glenmore Park Community Centre,2231 Longridge DR SW,NGM,-114.1120604,50.99811739,"(50.99811739400991, -114.11206037488374)"
Social Dev Ctr,Bowmont,5000 BOWNESS RD NW,MON,-114.1649551,51.07552511,"(51.075525108644335, -114.16495514895213)"
Social Dev Ctr,South Area,502 HERITAGE DR SW,KIN,-114.0743509,50.98313705,"(50.98313705070583, -114.07435086091301)"
Community Centre,Highland Park Community Centre,3716 2 ST NW,HPK,-114.0662411,51.0853217,"(51.08532170060153, -114.06624106050928)"
Library,Country Hills Library,11950 Country Village Link NE,CHV,-114.0647513,51.15693061,"(51.156930605182936, -114.0647513142184)"
Community Centre,Varsity Community Centre,4303 Varsity DR NW,VAR,-114.1492338,51.0919828,"(51.091982801745985, -114.14923384882196)"
Community Centre,Fairview Community Centre,8038 Fairmount DR SE,FAI,-114.05869,50.98251763,"(50.98251763288699, -114.05868999355175)"
Community Centre,Wildwood Community Centre,4411 Spruce DR SW,WLD,-114.1508801,51.05188635,"(51.051886350376456, -114.15088014874473)"
Community Centre,Rosscarrock Community Centre,4411 10 AV SW,RCK,-114.1507529,51.04279765,"(51.04279764930228, -114.15075286617495)"
Attraction,Fish Creek Provincial Park (Learning Centre),13931 Woodpath RD SW,FPK,-114.1320962,50.92760031,"(50.92760030790942, -114.13209621831759)"
Visitor Info,Tourism Calgary Airport,2000 Airport RD NE,CIA,-114.0092457,51.13131007,"(51.13131007166948, -114.00924569013944)"
Library,Southwood Library,924 SOUTHLAND DR SW,SOW,-114.08618,50.96358656,"(50.96358655798522, -114.08617997642551)"
Community Centre,Ranchlands Community Centre,7713 Ranchview DR NW,RAN,-114.1795107,51.11959515,"(51.11959514517543, -114.17951073267321)"
Social Dev Ctr,West Area,2539 33 AV SW,CFC,-114.1238071,51.02323937,"(51.023239371972956, -114.12380714878877)"
Social Dev Ctr,North Area,905 30 AV NW,MOP,-114.0792565,51.07982299,"(51.0798229863009, -114.0792565329423)"
PHS Clinic,Sheldon M. Chumir Health Centre,1213 - 4 ST SW,BLN,-114.0721296,51.04116344,"(51.04116344159869, -114.07212956123551)"
Library,Quarry Park Library,108 Quarry Park RD SE,DDG,-114.0060594,50.96158778,"(50.96158777667302, -114.00605942056835)"
Community Centre,Ramsay Community Centre,1136 8 ST SE,RAM,-114.041143,51.03842577,"(51.03842577148743, -114.04114298429343)"
Community Centre,Chaparral Residents Association,225 CHAPARRAL DR SE,CHA,-114.0364196,50.88636251,"(50.88636251240058, -114.03641956715506)"
Community Centre,Marlborough Park Community Centre,6021 Madigan DR NE,MPK,-113.9424869,51.06004504,"(51.0600450440598, -113.94248694302783)"
Visitor Info,Tourism Calgary Central Office,200 238 11 AV SW,BLN,-114.0675212,51.0427492,"(51.0427491978594, -114.06752118869719)"
Visitor Info,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC,-114.0570556,51.04536904,"(51.04536904425736, -114.05705557152875)"
Community Centre,Cedarbrae Community Centre,11024 Oakfield DR SW,CED,-114.129881,50.95454752,"(50.9545475196074, -114.1298810146555)"
Community Centre,Parkdale Community Centre,3512 5 AV NW,PKD,-114.1368069,51.06051475,"(51.060514752049905, -114.13680689066544)"
Library,Shawnessy Library,333 SHAWVILLE BV SE,SHN,-114.063957,50.89803403,"(50.89803403456662, -114.06395702504017)"
Attraction,Contemporary Calgary Art Gallery,117 8 AV SW,DNC,-114.0641651,51.0454608,"(51.04546080414715, -114.06416513122672)"
Community Centre,Banff Trail Community Centre,2115 20 AV NW,BNF,-114.1089218,51.07030324,"(51.07030323975356, -114.10892182051344)"
Community Centre,St. Andrews Heights Community Centre,2504 13 AV NW,STA,-114.121361,51.06404099,"(51.06404098711891, -114.12136097042293)"
Community Centre,Shawnessy Community Centre,224 Shawmeadows RD SW,SHN,-114.0751574,50.90670901,"(50.90670901060858, -114.07515738296392)"
Community Centre,Lake Bonavista Downs Community Centre,1418 Lake Ontario RD SE,BDO,-114.0319163,50.94187315,"(50.941873148895105, -114.03191627422262)"
Community Centre,Cambrian Heights Community Centre,600 Northmount DR NW,CAM,-114.087382,51.08682876,"(51.086828755847634, -114.08738199941789)"
Community Centre,Mount Pleasant Community Centre,,MOP,-114.0743356,51.07275856,"(51.07275856371514, -114.0743356266661)"
Community Centre,Coach Hill/Patterson Heights Community Centre,60 Patterson BV SW,PAT,-114.1778466,51.06138085,"(51.0613808546056, -114.17784663152653)"
Community Centre,Woodcreek Community Centre,1991 Woodview DR SW,WOO,-114.1048706,50.9411119,"(50.941111899205765, -114.10487059728527)"
Community Centre,Bridgeland / Riverside Community Centre,917 Centre Av NE,BRD,-114.039942,51.05007404,"(51.050074042928564, -114.03994198208092)"
Library,Judith Umbach Library,6617 CENTRE ST N,HUN,-114.0639677,51.11187982,"(51.11187981745397, -114.06396773938215)"
Library,Forest Lawn Branch,4807 8 AV SE,FLN,-113.9652839,51.04480558,"(51.044805584747444, -113.96528388609507)"
Court,Alberta Provincial Court (Rural),# 401-S 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Attraction,Trans Canada Trail Pavillion,Bow River Pathway at 2 ST SW,DNC,-114.0661323,51.0536706,"(51.05367059958027, -114.06613232390751)"
Attraction,Calaway Park,Springbank RD & Trans Canada HWY,VAL,-114.2687425,51.08860104,"(51.08860103724747, -114.26874250057853)"
Community Centre,Renfrew Community Association,811 Radford RD NE,REN,-114.0447379,51.06018402,"(51.060184020846826, -114.04473790880562)"
Attraction,Grain Academy Museum,20 Roundup WY SE,BLN,-114.0569959,51.0387852,"(51.03878519868122, -114.05699586689883)"
Community Centre,Rosemont Community Centre,2807 10 ST NW,CAP,-114.0860375,51.07675296,"(51.076752962370186, -114.08603750615559)"
Attraction,Crossroads Market,1235 26 AV SE,AYB,-114.0346631,51.0304693,"(51.03046930455906, -114.0346630730894)"
Hospital,Foothills Hospital,1403 - 29 ST NW,STA,-114.1321766,51.06418294,"(51.064182937103176, -114.13217660430655)"
Community Centre,Lakeview Community Centre,6110 34 ST SW,LKV,-114.1361774,50.99835974,"(50.998359742341016, -114.13617740362398)"
Court,Alberta Court of Queens Bench,# 604-N 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Hospital,Peter Lougheed Medical Centre,3500 - 26 AV NE,SUN,-113.9839435,51.07901635,"(51.07901634932495, -113.98394351382268)"
PHS Clinic,Village Square Community Health Centre,2623 - 56 ST NE,PIN,-113.9535557,51.07553893,"(51.07553892796213, -113.95355569514419)"
Library,Seton Library,4995 MARKET ST SE,SET,-113.9441792,50.88118896,"(50.88118895884824, -113.94417916235368)"
Community Centre,Highwood Community Centre,16 Harlow AV NW,HIW,-114.0773512,51.09081185,"(51.09081185306712, -114.0773512197879)"
Library,Giuffre Family Library,3223 14 ST SW,SOC,-114.0955034,51.02544582,"(51.025445819741115, -114.09550344771091)"
Court,Alberta Provincial Court (Traffic),# 203-S 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Community Centre,Rosedale Community Centre,901 11 AV NW,RDL,-114.0814341,51.06215285,"(51.06215284787542, -114.08143411839842)"
Community Centre,Crossroads Community Centre,1803 14 AV NE,MAL,-114.01913,51.06516302,"(51.06516302493362, -114.01913004295139)"
Library,Nose Hill Library,1530 NORTHMOUNT DR NW,BRE,-114.1388347,51.09654291,"(51.09654291244681, -114.13883468496591)"
Community Centre,Temple Community Centre,167 Templegreen RD NE,TEM,-113.9448539,51.08740934,"(51.087409341889156, -113.94485394505242)"
Community Centre,Elbow Park Community Centre,800 34 AV SW,EPK,-114.0821755,51.02346188,"(51.023461881343515, -114.08217549332538)"
Community Centre,Queensland / Diamond Cove Community Centre,649 Queensland DR SE,QLD,-114.0216631,50.93960081,"(50.93960080590387, -114.0216630923592)"
Community Centre,West Hillhurst Community Centre,1940 6 AV NW,WHL,-114.10461,51.05818078,"(51.058180783465474, -114.10461004572657)"
Library,Sage Hill Library,19 SAGE HILL PS NW,SGH,-114.1471029,51.16891135,"(51.16891134721613, -114.14710286902496)"
Community Centre,Glendale/Glendale Meadows Community Centre,2405 Glenmount DR SW,GDL,-114.1498178,51.03299809,"(51.032998091299575, -114.14981783034104)"
Library,Nicholls Family Library,1421 33 ST SW,RCK,-114.1358227,51.04041137,"(51.04041136768391, -114.13582272876572)"
Community Centre,McKenzie Lake Community Centre,16198 McKenzie Lake WY SE,MCK,-113.983567,50.9062787,"(50.90627869856965, -113.98356700064974)"
Community Centre,Huntington Hills Community Centre,520 78 AV NW,HUN,-114.0722785,51.12372676,"(51.12372675642276, -114.07227849946028)"
Attraction,The Police Museum,5111 47 ST NE,,-113.9709288,51.09882312,"(51.098823119734, -113.97092881500096)"
Library,Saddletowne Library,7556 FALCONRIDGE BV NE,MRT,-113.9478248,51.1202881,"(51.12028809665206, -113.94782479993012)"
Community Centre,Capitol Hill Community Centre,1531 21 AV NW,CAP,-114.0964586,51.07127566,"(51.07127566270025, -114.09645862486829)"
Community Centre,Winston Heights/Mountview Community Centre,520 27 AV NE,WIN,-114.0521206,51.07736047,"(51.07736047022461, -114.05212058905765)"
Community Centre,Elboya Heights Community Centre,416 Park AV SW,EYA,-114.072752,51.01536526,"(51.01536525830262, -114.07275204611734)"
Community Centre,Riverbend Community Centre,19 Rivervalley DR SE,RIV,-114.0163854,50.97245358,"(50.97245358267971, -114.01638539321948)"
Community Centre,Spruce Cliff Community Centre,3375 Spruce DR SW,SPR,-114.1363299,51.04750374,"(51.04750374462838, -114.13632989210797)"
Community Centre,Braeside Community Centre,11024 Braeside DR SW,BRA,-114.1020364,50.95434611,"(50.95434611067999, -114.10203640180053)"
Community Centre,Edgemont Community Centre,33 Edgevalley CI NW,EDG,-114.1441715,51.12848693,"(51.12848692994772, -114.14417148714969)"
Court,Alberta Court of Appeal,2600 450 1 ST SW,DNC,-114.0646681,51.04872179,"(51.04872179174605, -114.0646680885537)"
Community Centre,Mid-Sun Community Centre,50 Midpark RI SE,MID,-114.0566252,50.91543769,"(50.915437688872004, -114.05662520454203)"
Library,Crowfoot Library,8665 NOSE HILL DR NW,ARB,-114.1925405,51.13086974,"(51.13086973775027, -114.19254054018799)"
Community Centre,Bowness / Greenwood / Greenbriar Community Centre,7904 43 AV NW,BOW,-114.2008558,51.09166254,"(51.09166253553679, -114.20085583758586)"
PHS Clinic,East Calgary Health Centre,4715 8 AV SE,FLN,-113.9672201,51.04504854,"(51.04504854027524, -113.9672200855659)"
Social Dev Ctr,East Area,1011 52 ST SE,FLN,-113.9586913,51.04286372,"(51.04286372286171, -113.95869132027342)"
Hospital,Alberta Children's Hospital,2888 Shaganappi Trail NW,UOC,-114.1479576,51.07455988,"(51.07455988033879, -114.14795761511185)"
Community Centre,Albert Park / Radisson Heights Community Centre,2636 12 AV SE,ALB,-113.9985557,51.04212976,"(51.04212975529989, -113.99855566623944)"
Court,Alberta Provincial Court (Youth),# 201-N 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Attraction,Butterfield Acres Children's Farm,Rocky Ridge RD & 120 AV NW,02A,-114.2358294,51.15901956,"(51.15901955654486, -114.23582941054728)"
Community Centre,Scenic Acres Community Centre,8825 Scurfield DR NW,SCE,-114.2147644,51.12170817,"(51.12170816918224, -114.21476435610282)"
Community Centre,Haysboro Community Centre,1204 89 AV SW,HAY,-114.0877857,50.97474555,"(50.97474554985502, -114.08778574697868)"
Social Dev Ctr,Forest Lawn,3810 17 AV SE,FLN,-113.9796488,51.03794044,"(51.03794043735162, -113.97964875444161)"
Community Centre,Acadia Community Centre,240 90 AV SE,ACA,-114.0651426,50.97317046,"(50.973170463392194, -114.06514256397735)"
Community Centre,Deer Run Community Centre,2223 146 AV SE,DRN,-114.0079417,50.92175537,"(50.92175537205221, -114.00794165335118)"
Community Centre,Cliffe Bungalow/Mission Community Association,2201 Cliff ST SW,CLI,-114.0760846,51.03336143,"(51.033361430010245, -114.07608458241921)"
Community Centre,Beltline Victoria and Connaught Community Centre,1302 6 ST SE,BLN,-114.0479577,51.03999662,"(51.039996621460574, -114.04795765838207)"
Court,Alberta Provincial Court (Criminal),# 402-S 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Community Centre,Rutland Park Community Centre,3130 40 AV SW,RUT,-114.1352659,51.01838774,"(51.018387743843064, -114.13526594751386)"
Attraction,"Calgary Zoo, Botanical Garden & Prehistoric Park",1300 Zoo RD NE,BRD,-114.0316394,51.04406589,"(51.04406589283427, -114.03163939960726)"
Attraction,WinSport's Canada Olympic Park,88 Canada Olympic RD SW,COP,-114.2154069,51.0823997,"(51.082399702606445, -114.21540689257601)"
Community Centre,Dover Community Centre,3033 30 AV SE,DOV,-113.9890902,51.02671301,"(51.02671300502135, -113.98909015497624)"
Community Centre,Monterey Park Community Centre,2707 Catalina BV NE,MOR,-113.9308847,51.07635425,"(51.07635425278112, -113.93088467016644)"
Hospital,South Health Campus,4448 FRONT ST SE,SET,-113.9517038,50.88210185,"(50.88210185113848, -113.95170381192895)"
Community Centre,"Palliser, Bayview, Pumphill Community Centre",2323 Palliser DR SW,PAL,-114.1137258,50.96863014,"(50.968630143965065, -114.11372575942883)"
Community Centre,Hillhurst/Sunnyside Community Centre,1320 5 AV NW,HIL,-114.0925172,51.05754164,"(51.057541635120565, -114.09251724218966)"
Community Centre,South Calgary Community Centre,3130 16 ST SW,SOC,-114.0983094,51.02599472,"(51.02599472198563, -114.09830938027513)"
Community Centre,Tuxedo Park Community Centre,202 29 AV NE,TUX,-114.0596401,51.07891772,"(51.078917718588066, -114.0596401440611)"
Attraction,Olympic Oval - University of Calgary,188 University CO NW,UOC,-114.1356884,51.07703331,"(51.07703331008856, -114.13568838838447)"
Visitor Info,Tourism Calgary Tower,101 9 AV SW,DNC,-114.063069,51.04433245,"(51.044332451116105, -114.06306897165071)"
Community Centre,Hounsfield Heights/Briar Hill Community Centre,1922 14 AV NW,HOU,-114.1041076,51.0662269,"(51.0662268958542, -114.10410759347351)"
Attraction,Calgary Stampede Park,1410 Olympic WY SE,BLN,-114.0569959,51.0387852,"(51.03878519868122, -114.05699586689883)"
Community Centre,Saddle Ridge Community Centre,7614 42 ST NE,SRI,-113.972859,51.12084344,"(51.12084343878063, -113.97285897998094)"
Attraction,Bow Habitat Station,1440 17A ST SE,ING,-114.0176584,51.04198673,"(51.041986727725785, -114.01765842529399)"
Community Centre,Calgary Marlborough Community Centre,636 Marlborough WY NE,MRL,-113.9742887,51.0582661,"(51.0582661000614, -113.97428871267957)"
Community Centre,Kingsland Community Centre,505 78 AV SW,KIN,-114.0740173,50.98295747,"(50.982957465890294, -114.07401734259619)"
Library,Central Library,800 3 ST SE,DNC,-114.0551754,51.04551175,"(51.045511752813894, -114.05517536017112)"
PHS Clinic,Acadia Community Health Centre,151 - 86 AV SE,ACA,-114.0709401,50.97507203,"(50.97507203441003, -114.0709401043907)"
Community Centre,Meadowlark Park Community Centre,623 58 AV SW,MEA,-114.0778146,51.00107649,"(51.00107649024973, -114.07781461377053)"
Attraction,The Military Museums,4520 Crowchild TR SW,ALT,-114.1145557,51.01350426,"(51.013504259568315, -114.11455574951816)"
Community Centre,Penbrooke Meadows Community Centre,6100 8 AV SE,PEN,-113.9463297,51.04590884,"(51.04590883610406, -113.94632973926619)"
Community Centre,Parkland Community Centre,505 Parkvalley RD SE,PKL,-114.0262459,50.918028,"(50.9180279952265, -114.02624587819763)"
Attraction,Aero Space Museum of Calgary,4629 McCall WY NE,PEG,-114.01182,51.09401393,"(51.094013925454185, -114.01181998844031)"
Community Centre,Erin Woods Community Centre,83 Erin Park DR SE,ERI,-113.9637375,51.02289563,"(51.02289563481009, -113.96373751726838)"
Attraction,Calgary Chamber of Commerce,237 8 Ave SE,DNC,-114.0632333,51.04763278,"(51.04763278161237, -114.06323328944796)"
Community Centre,Strathcona/Christie Park Community Centre,277 Strathcona DR SW,STR,-114.1799694,51.04727008,"(51.04727008025469, -114.17996942904307)"
Attraction,Tsuu T'ina Culture Museum,3700 Anderson RD SW,CED,-114.138873,50.95047879,"(50.950478794101464, -114.13887303116144)"
PHS Clinic,South Calgary Health Centre,31 Sunpark Plaza SE,SDC,-114.058575,50.90257527,"(50.90257527258776, -114.05857497443219)"
Social Dev Ctr,Thornhill,6617 CENTRE ST NW,HUN,-114.0633325,51.11210128,"(51.112101279375736, -114.06333245492493)"
Community Centre,Forest Lawn Community Centre,4020 26 AV SE,FLN,-113.9768196,51.0308198,"(51.03081979535198, -113.97681956969974)"
Attraction,Telus Convention Centre,120 9 AV SE,DNC,-114.0618193,51.04472594,"(51.04472593510657, -114.06181929820227)"
Attraction,Arts Commons,205 8 AV SE,DNC,-114.0600555,51.04534218,"(51.0453421839633, -114.06005554212223)"
Community Centre,Canyon Meadows Community Centre,848 Cantabrian DR SW,CAN,-114.0788446,50.94621373,"(50.9462137346422, -114.07884464053892)"
Attraction,TELUS Spark  Centre,220 ST GEORGES DR NE,REN,-114.0245847,51.05384024,"(51.05384024422898, -114.02458466607398)"
Community Centre,Lake Bonavista Community Centre,1401 Acadia DR SW,LKB,-114.0492118,50.9369456,"(50.93694560472317, -114.04921183932436)"
Attraction,Shaw Millenium Park,1220 9 AV SW,DNW,-114.0909273,51.04633762,"(51.04633761662411, -114.09092733904481)"
Community Centre,Crescent Heights Community Centre,1101 2 ST NW,CRE,-114.0679851,51.06194408,"(51.06194408124397, -114.06798512418247)"
Community Centre,Pineridge Community Centre,6024 Rundlehorn DR NE,PIN,-113.945256,51.07156695,"(51.071566954562215, -113.94525595698727)"
PHS Clinic,Shaganappi Complex Health Centre,3415 - 8 AV SW,SPR,-114.1368419,51.04488712,"(51.04488712410958, -114.13684189371192)"
Community Centre,Mount Royal Community Centre,2317 10 ST SW,UMR,-114.0860568,51.03173477,"(51.0317347745017, -114.08605677865727)"
Community Centre,Glenbrook Community Centre,3524 45 ST SW,GBK,-114.1520857,51.02298572,"(51.0229857234291, -114.15208565393783)"
Community Centre,Falconridge/Castleridge Community Centre,95 Falshire DR NE,FAL,-113.946308,51.10454915,"(51.10454915477844, -113.94630797739877)"
Community Centre,Bankview Community Centre,2418 17 ST SW,BNK,-114.1014971,51.03252313,"(51.03252312936438, -114.10149710486294)"
Social Dev Ctr,Bridgeland Place,736 MCDOUGALL CO NE,BRD,-114.0463219,51.0499507,"(51.049950695912564, -114.04632193918891)"
Library,Rocky Ridge Library,11300 ROCKY RIDGE RD NW,01K,-114.2312213,51.15704802,"(51.15704802439875, -114.23122131314075)"
Community Centre,Scarboro Community Centre,1727 14 AV SW,SNA,-114.101184,51.04040342,"(51.04040341906903, -114.10118400627381)"
Community Centre,Glamorgan Community Centre,4207 41 AV SW,GLA,-114.145169,51.01736147,"(51.01736147213117, -114.14516898574892)"
Attraction,Eau Claire Market,200 Barclay PR SW,EAU,-114.0676925,51.05293242,"(51.05293242434599, -114.0676925337625)"
Community Centre,Willow Park / Mapleridge Community Centre,680 Acadia DR SE,MPL,-114.0433391,50.95989273,"(50.95989272824391, -114.04333908100614)"
Community Centre,Southwood Community Centre,11 Sackville DR SW,SOW,-114.0865931,50.95678372,"(50.95678371616465, -114.08659309867875)"
Community Centre,Inglewood Community Centre,1740 24 AV SE,ING,-114.0195175,51.03251815,"(51.03251815243918, -114.01951750218385)"
Attraction,Fort Calgary,750 9 AV SE,DNE,-114.0451883,51.0440588,"(51.044058796792875, -114.04518834889905)"
Community Centre,Arbour Lake Community Centre,12 Arbour Lake DR NW,ARB,-114.202577,51.13309369,"(51.13309369009856, -114.2025770185727)"
Community Centre,Brentwood Community Centre,5107 33 ST NW,BRE,-114.1378448,51.09750325,"(51.09750324772107, -114.137844810739)"
Attraction,Calgary Chinese Cultural Centre,197 1 ST SW,CHN,-114.0653037,51.05128465,"(51.05128465468019, -114.0653037065633)"
Community Centre,Beddington Heights Community Centre,375 Bermuda DR NW,BED,-114.0851725,51.13164348,"(51.13164348498047, -114.08517247675093)"
Library,Louise Riley Library,1904 14 AV NW,HOU,-114.1043482,51.06545717,"(51.06545716724518, -114.1043481504755)"
Community Centre,Thorncliffe/Greenview Community Centre,5600 Centre ST NE,THO,-114.0616125,51.1012063,"(51.10120629803327, -114.06161252089136)"
Community Centre,Forest Heights/ Fonda Community Centre,4909 Forego AV SE,FHT,-113.963017,51.0492163,"(51.0492163000285, -113.96301697492487)"
Community Centre,Oakridge Community Centre,9504 Oakfield DR SW,OAK,-114.1319952,50.96876643,"(50.96876642604296, -114.13199522810099)"
Attraction,Nickle Arts Museum (University of Calgary),410 University CO NW,UOC,-114.1298132,51.07745246,"(51.07745245533072, -114.12981317228409)"
Library,Village Square Library,2623 56 ST NE,PIN,-113.9545544,51.07538752,"(51.07538752061588, -113.95455439191234)"
Attraction,Olympic Plaza,228 8 AV SE,DNC,-114.0584187,51.04624513,"(51.04624513319553, -114.05841869481438)"
Community Centre,Shaganappi Community Centre,2608 14 AV SW,SHG,-114.1189263,51.03991525,"(51.03991525395378, -114.11892631077158)"
Community Centre,Rundle Community Centre,2409 50 ST NE,RUN,-113.9619986,51.07467132,"(51.07467131714376, -113.96199861949505)"
Community Centre,Parkhill/Stanley Park Community Centre,4013 Stanley RD SW,PKH,-114.0647616,51.01847818,"(51.018478175395174, -114.06476159523832)"
Community Centre,Citadel Community Centre,860 CITADEL DR NW,CIT,-114.1735199,51.14472286,"(51.14472286350329, -114.17351992922289)"
Community Centre,Dalhousie Community Centre,5432 Dalhart RD NW,DAL,-114.1597161,51.11284884,"(51.11284883790082, -114.15971614293404)"
Attraction,Devonian Gardens -  The CORE Shopping Centre,317 7 AV SW,DNC,-114.0690587,51.04653468,"(51.04653467951193, -114.0690586995268)"
Library,Memorial Park Library,1221 2 ST SW,BLN,-114.0690596,51.041109,"(51.041109003931396, -114.06905961378371)"
Attraction,Southern Alberta Jubilee Auditorium,1415 14 AV NW,HIL,-114.0922449,51.06360628,"(51.06360627614137, -114.09224487171537)"
Hospital,Rockyview General Hospital,7007 - 14 ST SW,EAG,-114.0963207,50.99182889,"(50.991828888017004, -114.09632069904508)"
Court,Alberta Provincial Court (Civil),# 606-S 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Community Centre,Southview Community Centre,2020 33 ST SE,SOV,-113.9879885,51.03332154,"(51.03332153619417, -113.9879884552357)"
Community Centre,Montgomery Community Centre,5003 - 16 AV NW,MON,-114.1656058,51.07160849,"(51.07160849280569, -114.16560579916423)"
Library,Fish Creek Library,11161 BONAVENTURE DR SE,WIL,-114.0609114,50.95171805,"(50.95171805364437, -114.06091141872936)"
Library,Signal Hill Library,5994 SIGNAL HILL CT SW,SIG,-114.1753628,51.01879984,"(51.01879983635221, -114.17536278617024)"
Attraction,Scotiabank Saddledome,555 Saddledome RI SE,BLN,-114.0519704,51.03740133,"(51.037401331867834, -114.05197037229337)"
Community Centre,Silver Springs Community Centre,5720 Silver Ridge DR NW,SIL,-114.1925301,51.10465214,"(51.10465213762893, -114.19253010146795)"
Community Centre,Westgate Community Centre,4943 8 AV SW,WGT,-114.1578973,51.04463307,"(51.044633072531504, -114.15789734393195)"
Attraction,Heritage Park Historical Village,1900 Heritage Dr SW,GPK,-114.1082438,50.9848337,"(50.98483370113588, -114.10824382482379)"
Court,Alberta Provincial Court (Family),# 704-N 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Community Centre,Chinook Park/Kelvin Grove/Eagle Ridge Community Centre,1015 73 AV SW,KEL,-114.0849477,50.98759577,"(50.98759577417002, -114.08494774002713)"
Court,Federal Court of Appeal,635 8 AV SW,DNC,-114.0758381,51.04563942,"(51.04563942132596, -114.07583807349852)"
Community Centre,Triwood Community Centre,2244 Chicoutimi DR NW,CHW,-114.1117154,51.08631751,"(51.08631750676294, -114.11171536406809)"
Community Centre,Killarney/Glengarry Community Centre,2828 28 ST SW,KIL,-114.1276829,51.0287192,"(51.02871920189859, -114.12768294840178)"
Attraction,Calgary Stampeders Football - McMahon Stadium,1817 Crowchild TR NW,UOC,-114.1182079,51.07040502,"(51.07040501943504, -114.1182079300792)"
Attraction,Calgary Firefighters Museum,4124 11 ST SE,HIF,-114.0365779,51.01846694,"(51.01846693545822, -114.03657793516909)"
Attraction,Triangle Art Gallery,#104 800 Macleod TR SE,DNC,-114.0575006,51.04507583,"(51.045075826509134, -114.05750055836236)"
Attraction,Canada's Sports Hall of Fame,169 Canada Olympic Road SW,COP,-114.2219925,51.08346059,"(51.083460590375374, -114.22199246540958)"
PHS Clinic,Northwest Community Health Centre,109 1829 Ranchlands BV NW,RAN,-114.1971615,51.12333355,"(51.123333552258295, -114.1971615208791)"
Community Centre,Copperfield & Mahogany Community Center,6 Copperstone Way SE,CPF,-113.9324483,50.91485983,"(50.91485982683862, -113.93244829251158)"
Community Centre,Whitehorn Community Centre,228 Whitehorn RD NE,WHI,-113.96695,51.08878862,"(51.08878861800125, -113.96694996868959)"
Attraction,Spruce Meadows Equestrian Centre,18011 Spruce Meadows WY SW,,-114.0943301,50.8895649,"(50.88956489509549, -114.09433006613926)"
Community Centre,Millican/Ogden/Lynnwood Community Centre,6901 20A ST SE,OGD,-114.0108514,50.99147136,"(50.991471359578625, -114.01085136252242)"
Community Centre,North Haven Community Centre,5003 North Haven DR NW,NHV,-114.0866232,51.09909773,"(51.099097726092864, -114.08662318987814)"
Attraction,Calgary Tower,101 9 AV SW,DNC,-114.0631126,51.04448024,"(51.04448023768848, -114.06311258857386)"
Community Centre,Abbeydale Community Centre,821 Abbeydale DR NE,ABB,-113.9320225,51.05961291,"(51.05961291015646, -113.93202249812654)"
Visitor Info,Calgary Chamber of Commerce,600 237 8 AV SE,DNC,-114.0583675,51.04518493,"(51.0451849276814, -114.05836753988049)"
Community Centre,Richmond/Knob Hill Community Centre,2433 26 AV SW,RIC,-114.1170348,51.02992082,"(51.02992081967741, -114.11703482233399)"
Attraction,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC,-114.0579272,51.0453997,"(51.04539970470251, -114.05792721563786)"
